ds,y
2017-08-24,28.57
2017-08-25,28.709999
2017-08-28,28.709999
2017-08-29,28.459999
2017-08-30,28.719998999999998
2017-08-31,29.030001000000002
2017-09-01,28.85
2017-09-05,28.389999
2017-09-06,28.52
2017-09-07,28.48
2017-09-08,28.5
2017-09-11,28.92
2017-09-12,28.879998999999998
2017-09-13,28.780001000000002
2017-09-14,28.59
2017-09-15,28.5
2017-09-18,28.620001000000002
2017-09-19,28.860001
2017-09-20,28.860001
2017-09-21,28.620001000000002
2017-09-22,28.639999
2017-09-25,28.6
2017-09-26,28.49
2017-09-27,28.360001
2017-09-28,28.059998999999998
2017-09-29,28.459999
2017-10-02,28.370001000000002
2017-10-03,28.4
2017-10-04,28.18
2017-10-05,28.15
2017-10-06,28.07
2017-10-09,28.059998999999998
2017-10-10,28.59
2017-10-11,28.780001000000002
2017-10-12,29.059998999999998
2017-10-13,29.120001000000002
2017-10-16,29.0
2017-10-17,28.99
2017-10-18,28.98
2017-10-19,28.93
2017-10-20,28.98
2017-10-23,28.860001
2017-10-24,28.780001000000002
2017-10-25,28.75
2017-10-26,28.68
2017-10-27,28.719998999999998
2017-10-30,28.780001000000002
2017-10-31,28.98
2017-11-01,29.32
2017-11-02,29.34
2017-11-03,29.1
2017-11-06,29.209999
2017-11-07,28.940001000000002
2017-11-08,28.809998999999998
2017-11-09,29.67
2017-11-10,29.35
2017-11-13,28.85
2017-11-14,30.48
2017-11-15,30.700001
2017-11-16,30.639999
2017-11-17,30.959999
2017-11-20,30.93
2017-11-21,30.860001
2017-11-22,30.4
2017-11-24,30.59
2017-11-27,30.450001
2017-11-28,30.559998999999998
2017-11-29,30.620001000000002
2017-11-30,30.780001000000002
2017-12-01,30.73
2017-12-04,30.73
2017-12-05,30.610001
2017-12-06,30.48
2017-12-07,31.040001
2017-12-08,31.219998999999998
2017-12-11,31.25
2017-12-12,31.25
2017-12-13,31.34
2017-12-14,31.27
2017-12-15,31.07
2017-12-18,31.42
2017-12-19,31.450001
2017-12-20,31.4
2017-12-21,31.780001000000002
2017-12-22,31.860001
2017-12-26,31.860001
2017-12-27,31.709999
2017-12-28,31.93
2017-12-29,31.9
2018-01-02,32.200001
2018-01-03,31.99
2018-01-04,32.310001
2018-01-05,32.580002
2018-01-08,32.669998
2018-01-09,32.599998
2018-01-10,31.65
2018-01-11,31.440001000000002
2018-01-12,31.93
2018-01-16,32.330002
2018-01-17,31.32
2018-01-18,31.58
2018-01-19,31.58
2018-01-22,32.16
2018-01-23,32.32
2018-01-24,32.369999
2018-01-25,32.200001
2018-01-26,32.400002
2018-01-29,32.09
2018-01-30,32.060001
2018-01-31,32.220001
2018-02-01,30.809998999999998
2018-02-02,31.049999
2018-02-05,29.110001
2018-02-06,29.620001000000002
2018-02-07,29.389999
2018-02-08,28.4
2018-02-09,28.540001
2018-02-12,28.450001
2018-02-13,28.32
2018-02-14,28.469998999999998
2018-02-15,28.75
2018-02-16,28.98
2018-02-20,28.65
2018-02-21,28.25
2018-02-22,28.360001
2018-02-23,28.959999
2018-02-26,29.129998999999998
2018-02-27,28.58
2018-02-28,28.309998999999998
2018-03-01,27.91
2018-03-02,28.049999
2018-03-05,28.360001
2018-03-06,28.559998999999998
2018-03-07,28.629998999999998
2018-03-08,28.959999
2018-03-09,29.040001
2018-03-12,29.040001
2018-03-13,28.639999
2018-03-14,28.74
2018-03-15,28.440001000000002
2018-03-16,28.5
2018-03-19,28.280001000000002
2018-03-20,27.93
2018-03-21,28.17
2018-03-22,27.360001
2018-03-23,27.41
2018-03-26,27.85
2018-03-27,27.59
2018-03-28,27.67
2018-03-29,27.82
2018-04-02,27.42
2018-04-03,27.68
2018-04-04,28.309998999999998
2018-04-05,28.780001000000002
2018-04-06,28.82
2018-04-09,28.950001
2018-04-10,29.41
2018-04-11,29.41
2018-04-12,29.74
2018-04-13,29.77
2018-04-16,30.0
2018-04-17,29.83
2018-04-18,29.74
2018-04-19,29.459999
2018-04-20,29.74
2018-04-23,30.07
2018-04-24,29.84
2018-04-25,29.58
2018-04-26,29.93
2018-04-27,29.51
2018-04-30,29.41
2018-05-01,29.129998999999998
2018-05-02,29.120001000000002
2018-05-03,28.99
2018-05-04,28.85
2018-05-07,28.84
2018-05-08,28.559998999999998
2018-05-09,28.799999
2018-05-10,28.780001000000002
2018-05-11,28.77
2018-05-14,28.370001000000002
2018-05-15,27.040001
2018-05-16,26.6
2018-05-17,26.610001
2018-05-18,26.41
2018-05-21,26.540001
2018-05-22,26.940001000000002
2018-05-23,26.59
2018-05-24,26.299999
2018-05-25,26.16
2018-05-29,25.91
2018-05-30,26.17
2018-05-31,25.93
2018-06-01,26.25
2018-06-04,26.41
2018-06-05,26.24
2018-06-06,26.52
2018-06-07,25.18
2018-06-08,25.209999
2018-06-11,25.35
2018-06-12,25.26
2018-06-13,24.690001000000002
2018-06-14,24.98
2018-06-15,24.74
2018-06-18,24.49
2018-06-19,24.51
2018-06-20,24.59
2018-06-21,24.469998999999998
2018-06-22,24.870001000000002
2018-06-25,24.540001
2018-06-26,24.309998999999998
2018-06-27,24.040001
2018-06-28,24.24
2018-06-29,24.309998999999998
2018-07-02,24.24
2018-07-03,24.559998999999998
2018-07-05,24.98
2018-07-06,25.32
2018-07-09,25.200001
2018-07-10,25.219998999999998
2018-07-11,24.290001
2018-07-12,24.360001
2018-07-13,24.16
2018-07-16,24.219998999999998
2018-07-17,23.879998999999998
2018-07-18,23.68
2018-07-19,23.280001000000002
2018-07-20,23.450001
2018-07-23,23.5
2018-07-24,23.68
2018-07-25,23.5
2018-07-26,23.469998999999998
2018-07-27,23.809998999999998
2018-07-30,24.889999
2018-07-31,24.549999
2018-08-01,24.43
2018-08-02,24.0
2018-08-03,24.35
2018-08-06,24.34
2018-08-07,24.4
2018-08-08,24.370001000000002
2018-08-09,24.23
2018-08-10,23.700001
2018-08-13,23.469998999999998
2018-08-14,23.17
2018-08-15,22.73
2018-08-16,22.85
2018-08-17,22.780001000000002
